year,Casualties,Latitude,Longitude
2016,4,38.744217,-90.305391
2016,5,38.845113,-76.874972
2016,6,36.765971,-78.928344
2016,4,39.290385,-76.612189
2016,5,41.878114,-87.629798
2016,4,29.785785,-95.824396
2016,5,34.16204,-86.475543
2016,3,33.77005,-118.193739
2016,4,35.085334,-106.605553
2016,4,35.149534,-90.04898
2016,5,41.878114,-87.629798
2016,4,35.085334,-106.605553
2016,4,37.540725,-77.436048
2016,3,36.099039,-78.301106
2016,4,35.242302,-87.334739
2016,4,34.759257,-86.602493
2016,4,33.635662,-96.60888
2016,4,33.635662,-96.60888
2016,4,38.252665,-85.758456
2016,4,38.252665,-85.758456
2016,5,26.127586,-80.233104
2016,4,32.543745,-86.211913
2016,5,26.127586,-80.233104
2016,4,33.748995,-84.387982
2016,4,26.640628,-81.872308
2016,4,34.111223,-82.867084
2016,5,40.217053,-74.742938
2016,4,42.331427,-83.045754
2016,9,40.440625,-79.995886
2016,8,40.441736,-79.881994
2016,5,39.114053,-94.627464
2016,4,30.22409,-92.019843
2016,4,39.114053,-94.627464
2016,7,42.391764,-71.032828
2016,7,42.391764,-71.032828
2016,4,34.023243,-84.361556
2016,4,37.687176,-97.330053
2016,5,42.331427,-83.045754
2016,4,33.997197,-117.48548
2016,4,38.6697,-77.3524
2016,5,47.5033,-122.931
2016,18,38.1368,-97.4268
2016,5,47.451459,-122.826946
2016,5,33.5927,-112.163
2016,5,33.448377,-112.074037
2016,4,38.77144,-90.370949
2016,5,29.760427,-95.369803
2016,5,34.7404,-88.1383
2016,8,42.2354,-85.676
2016,4,27.950575,-82.457178
2016,8,42.291707,-85.587229
2016,4,38.104086,-122.256637
2016,3,43.201126,-86.238946
2016,12,28.4541,-81.4646
2016,8,43.16103,-77.610922
2016,8,27.950575,-82.457178
2016,4,34.052234,-118.243685
2016,4,29.209684,-99.786168
2016,3,29.951066,-90.071532
2016,8,33.538652,-112.185987
2016,4,38.044556,-77.286488
2016,6,36.7921,-76.3293
2016,6,36.768209,-76.287493
2016,5,33.782519,-117.228648
2016,3,30.754181,-86.572799
2016,4,34.052234,-118.243685
2016,4,37.40264,-76.458559
2016,5,39.739072,-75.539788
2016,4,35.149534,-90.04898
2016,4,28.039465,-81.949804
2015,5,41.3138,-96.0814
2015,37,34.13973446,-117.2942444
2015,12,38.86730659,-104.7572279
2015,5,39.98861445,-82.98904135
2015,5,44.96358722,-93.26783687
2015,6,31.8076,-95.8069
2015,5,30.33216122,-81.67576993
2015,3,31.21094544,-82.35793452
2015,4,44.54994725,-69.70782299
2015,4,38.86730659,-104.7572279
2015,3,39.253268,-84.599655
2015,4,35.1725658,-111.6585435
2015,17,43.22205555,-123.3522367
2015,4,29.03270634,-82.65919302
2015,10,33.02912644,-84.7143335
